"occ","white","ed","exper"
"-menial",1,11,3
"-menial",1,12,14
"-menial",1,12,44
"-menial",1,12,18
"-menial",0,14,24
"-menial",1,13,38
"-menial",0,14,8
"-menial",1,14,19
"-menial",1,12,8
"-menial",1,12,3
"-menial",1,12,6
"-menial",1,11,40
"-menial",1,12,2
"-menial",1,12,22
"-menial",1,12,4
"-menial",1,9,22
"-menial",1,6,39
"-menial",1,12,3
"-menial",1,10,3
"-menial",1,9,7
"-menial",0,15,27
"-menial",0,6,52
"-menial",0,12,3
"-menial",1,12,35
"-menial",1,14,8
"-menial",1,11,34
"-menial",1,14,14
"-menial",1,9,9
"-menial",1,14,9
"-menial",1,13,5
"-menial",1,14,52
"blue-collar",1,12,10
"blue-collar",1,12,25
"blue-collar",1,12,32
"blue-collar",1,12,29
"blue-collar",1,12,4
"blue-collar",1,15,11
"blue-collar",1,16,11
"blue-collar",1,16,19
"blue-collar",1,12,18
"blue-collar",1,10,25
"blue-collar",1,9,8
"blue-collar",1,10,6
"blue-collar",1,12,2
"blue-collar",1,8,23
"blue-collar",1,12,8
"blue-collar",1,3,29
"blue-collar",1,13,30
"blue-collar",1,12,17
"blue-collar",1,12,9
"blue-collar",1,15,11
"blue-collar",1,14,9
"blue-collar",1,10,17
"blue-collar",1,11,4
"blue-collar",1,9,30
"blue-collar",0,16,22
"blue-collar",1,10,29
"blue-collar",1,10,6
"blue-collar",1,16,11
"blue-collar",1,12,5
"blue-collar",1,12,12
"blue-collar",1,8,26
"blue-collar",1,8,35
"blue-collar",1,12,17
"blue-collar",1,6,46
"blue-collar",1,11,6
"blue-collar",1,6,37
"blue-collar",1,11,32
"blue-collar",1,8,43
"blue-collar",1,12,4
"blue-collar",1,6,46
"blue-collar",1,13,51
"blue-collar",1,10,39
"blue-collar",1,12,37
"blue-collar",1,12,10
"blue-collar",1,12,4
"blue-collar",1,12,4
"blue-collar",0,14,49
"blue-collar",1,12,32
"blue-collar",1,12,9
"blue-collar",1,12,9
"blue-collar",1,13,8
"blue-collar",1,12,5
"blue-collar",1,9,34
"blue-collar",1,8,19
"blue-collar",0,7,41
