CLIENT_IP,CLIENT_CITY,CLIENT_REGION,CLIENT_COUNTRY,ISP,CLIENT_LATITUDE,CLIENT_LONGITUDE,TEST_DATE,SERVER_NAME,DOWNLOAD_KBPS,UPLOAD_KBPS,LATENCY,CLIENT_BROWSER,CLIENT_OPERATING_SYSTEM,USER_AGENT
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:01:12 GMT",Turin,60459,34220,11,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
95.237.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 00:01:50 GMT",Turin,19946,20602,17,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:03:00 GMT",Turin,67605,36320,10,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:06:42 GMT",Turin,65762,38297,11,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:10:14 GMT",Turin,60814,36888,10,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:11:40 GMT",Turin,62622,35519,10,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
94.125.*.*,Bardonecchia,12,Italy,"PSA S.r.l.",45.0746,6.6989,"1/1/2016 00:12:55 GMT",Turin,65309,34910,11,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
95.210.*.*,Turin,12,Italy,"Skylogic S.p.A.",45.0705,7.6868,"1/1/2016 00:18:31 GMT",Turin,7128,855,720,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
213.254.*.*,Aramengo,12,Italy,"IT.Gate S.p.A.",45.1009,8,"1/1/2016 00:21:10 GMT",Turin,5809,966,8,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
93.33.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 00:23:03 GMT",Turin,5086,498,38,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
